Samples;204252_at;211803_at;211804_s_at
GSM1179988;-0.46868896;0.32338738;-0.18507147
GSM1179987;0.9770441;0.1491878;0.57677174
GSM1179986;-1.106.154;-0.216887;-0.4193573
GSM1179985;0.41198683;0.14400434;-0.037193775
GSM1179984;-0.6400218;0.050287724;-0.036051273
GSM1179983;-0.30551147;0.6362066;0.3414955
GSM1179982;-0.27932835;0.14275384;0.15913057
GSM1179981;0.6449652;-0.29556274;0.6104474
GSM1179980;-0.42813587;0.18366456;0.05556345
GSM1179979;0.37450552;-0.518306;0.07887888
GSM1179978;0.5732045;-0.07742238;0.527565
GSM1179977;0.6885538;-0.01175046;0.21810627
GSM1179976;-0.011370182;0;0.041725636
GSM1179975;0.1826334;0.21263266;0.36491823
GSM1179974;-0.41752243;0.4769237;0.12214422
GSM1179973;0.07449961;-0.0225029;-0.06457186
GSM1179972;0.55243206;-0.04868555;-0.12255001
GSM1179971;0.047749996;-1.63E-04;-0.15616226
GSM1179970;-0.4783039;0.060020685;-0.18276548
GSM1179969;-0.003553867;-0.007327318;0.10336447
GSM1179968;0.4011488;-0.23238945;-0.22743797
GSM1179967;-0.33878613;0.21220541;0.036051273
GSM1179966;-0.48713732;0;-0.5374031
GSM1179965;0.9258442;0.09763265;0.66515017
GSM1179964;-0.08904743;-0.27708054;-0.65859175
GSM1179963;0.6259742;-0.10537791;-0.1671443
GSM1179962;-0.4419346;-0.16262388;-0.70117474
GSM1179961;0.003553867;0.24689794;-0.68180656
